name,price, Package Dimensions , Item Weight , ASIN , Item model number , Batteries ,Customer Reviews, Date First Available , Manufacturer , Memory Storage Capacity , Standing screen display size , Ram Memory Installed Size , Battery Capacity , Product Dimensions ,  OS  ,  RAM  ,  Wireless communication technologies  ,  Connectivity technologies  ,  GPS  ,  Special features  ,  Other display features  , Human Interface Input , Scanner Resolution ,  Other camera features  ,  Audio Jack  ,  Form Factor  , Color ,  Battery Power Rating  ,  Whats in the box  ,  Weight  , Language , Country of Origin ,  Phone Talk Time  , Best Sellers Rank , Is Discontinued By Manufacturer , Charging Time , Phone Standby Time (with data) ,  Display technology  
"        OnePlus Nord N20 5G | Android Smart Phone | 6.43"" AMOLED Display| 6+128GB | U.S. Unlocked | 4500 mAh Battery | 33W Fast Charging | Blue Smoke       ",199.44, 7.01 x 3.66 x 2.2 inches , 0.01 Pounds , B0B14LBNL6 , CPH2459 , 1 Lithium Polymer batteries required. (included) ," 

 
   4.2  4.2 out of 5 stars    
    940 ratings   


 4.2 out of 5 stars "," June 27, 2022 ", OnePlus , 128 GB , 6.43 Inches , 6 GB , 4500 Milliamp Hours ,,,,,,,,,,,,,,,,,,,,,,,,,
        Motorola Moto G13 4G LTE 128GB + 4GB GSM Global Unlocked | 50MP Triple Camera | 5000 mAh - Blue       ,139.00,, 6.5 ounces , B0BYC48W11 , MOTO G13 , 1 Lithium Polymer batteries required. (included) ," 

 
   4.1  4.1 out of 5 stars    
    20 ratings   


 4.1 out of 5 stars "," March 7, 2023 ", Motorola , 128 GB , 6.5 Inches , 4 GB , 5000 Milliamp Hours , 6.69 x 3.03 x 0.35 inches , Android 13.0 , 4 GB ," Cellular, Wi-Fi "," Bluetooth, Wi-Fi, USB ", True ," Dual SIM, Internationally Sourced, Expandable Memory ", Wireless , Touchscreen , 720 x 1600 , Rear , 3.5 mm , Bar , Blue , 5000 Milliampere Hour (mAh) ," Power Adapter, Headset, SIM Tray Ejector, USB Cable ", 183.5 Grams ,,,,,,,,
"        Xiaomi Redmi 12C 4G LTE (128GB + 4GB) Factory Unlocked GSM 6.71"" 50MP Dual Camera (ONLY T-Mobile/Mint USA Market) + (w/Fast Car Charger Bundle) (Graphite Gray)       ",117.55,, 6.8 ounces , B0BVX8YJJ2 , 2212ARNC4L , 1 Lithium Ion batteries required. ," 

 
   4.7  4.7 out of 5 stars    
    2,214 ratings   


 4.7 out of 5 stars "," February 15, 2023 ", Xiaomi , 128 GB , 6.71 Inches , 4 GB , 5000 Milliamp Hours , 6.61 x 2.99 x 0.31 inches , Android 12.0 , 4 GB , Cellular , USB , True , Dual Camera , Wireless , Touchscreen , 1280 x 720 , Front , 3.5 mm , Smartphone , Graphite Gray , 5000 Milliampere Hour (mAh) ," Fast Car Charger, 10w Wall Charger, SIM Tray Ejector, Adapter ", 192 Grams ,,,,,,,,
        Motorola Moto E13 Dual SIM 64GB ROM + 2GB RAM Factory Unlocked 4G Smartphone (Cosmic Black) - International Version       ,95.00,, 6.7 ounces , B0BSQXLQNK ,, 1 Lithium Polymer batteries required. (included) ," 

 
   4.4  4.4 out of 5 stars    
    277 ratings   


 4.4 out of 5 stars "," February 16, 2023 ", Motorola , 2 GB , 6.5 Inches , 2 GB , 5000 Milliamp Hours ,, Android 13.0 , 2 GB , Cellular , Wi-Fi ,,, Wireless , Touchscreen , 720 x 1600 , Front ,, Slate , Cosmic Black , 5000 , USB Cable , 190 Grams , English ,,,,,,,
"        OnePlus 10T | Moonstone Black | 5G Unlocked Android Smartphone U.S Version | 16GB RAM+256GB Storage | 120Hz Fluid AMOLED Display | Triple Camera 50+8+2MP, 16MP | 125W SuperVOOC Charging       ",588.00,, 7.2 ounces , B0B7QQN6P9 , CPH2417 , 1 Lithium Ion batteries required. (included) ," 

 
   4.5  4.5 out of 5 stars    
    399 ratings   


 4.5 out of 5 stars "," August 29, 2022 ", OnePlus , 256 GB , 6.7 Inches , 16 GB , 4800 Milliamp Hours , 6.42 x 2.97 x 0.34 inches , Android 12.0 , 16 GB , Cellular ," Bluetooth, Wi-Fi, USB, NFC ", True ," CPU: Snapdragon® 8+ Gen 1 Mobile Platform, 150W SUPERVOOC, In-display Fingerprint Sensor, Corning® Gorilla® Glass, Multi Autofocus (All pixel omni-directional PDAF+LAF+CAF), Smart Scene Recognition, LPDDR 5 RAM, UFS 3.1 Storage, Bluetooth 5.2 ", Wireless , Keyboard ,," Rear, Front ",, Slate , Moonstone Black , 4800 ," OnePlus 10T, 125W SUPERVOOC Power Adapter, Type-C Cable, Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, SIM Tray Ejector, USB Dongle (Type-A to Type-C ) ", 203.5 Grams ,, China ,,,,,,
"        SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5'' GSM Unlocked,International Version-Black       ",100.70,, 6.6 ounces , B0BLZN9NDG , SM-A042M/DS , 1 Lithium Ion batteries required. (included) ," 

 
   4.1  4.1 out of 5 stars    
    45 ratings   


 4.1 out of 5 stars "," November 10, 2022 ", Samsung , 32 GB , 6.5 Inches , 4 GB , 5000 Milliamp Hours , 7 x 3.5 x 2.5 inches , Android , 3 , Cellular , Wireless ,,, Wireless , Touchscreen , 720 x 1600 ," Rear, Front ",, Smart Phone , BLACK , 5000 Milliampere Hour (mAh) ," Power Adapter, Phone, SIM Tray Ejector, USB Cable ", 6.63 Ounces ,,,,,,,,
"        TracFone Motorola Moto g Power 5G (2023), 128GB, Black - Prepaid Smartphone (Locked)       ",119.99,, 12.8 ounces , B0CCT15Q5N , XT2311DL , 1 Lithium Polymer batteries required. (included) ," 

 
   4.1  4.1 out of 5 stars    
    13 ratings   


 4.1 out of 5 stars "," July 25, 2023 ", MOTOROLA INC , 128 GB , 6.4 Inches , 4 GB , 5000 , 1.5 x 6.31 x 8.25 inches , Android 13 , 4 GB ,," Bluetooth, Wi-Fi, USB ", True ," Voice Dialing, Fingerprint Sensor, WiFi Calling, Handsfree Speaker ", Wireless , Touchscreen , 1080 × 2400 , Rear ,, Bar , Black , 5000 ," Service Guide, Quick Start Guide, Moto g power, USB Cable ", 0.8 Pounds ,, China , 23 Hours ,,,,,
        Motorola Edge | 2023 | Unlocked | Made for US 8/256GB | 50MP Camera | Eclipse Black       ,349.99,, 171 Grams , B0C9RX9F94 , PAY60006US ,," 

 
   3.8  3.8 out of 5 stars    
    18 ratings   


 3.8 out of 5 stars "," October 10, 2023 ", Motorola , 256 GB , 6.55 Inches , 8 GB ,, 2.83 x 0.3 x 6.24 inches ,,,,,,,,,,,,,,,,,, China ,,,,,,
"        Huness I23 Ultra Smartphone Unlocked Cell Phone,Built in Pen,Battery 6800mAh 6.8"" HD Screen Unlocked Phone,Android 13 6+256GB with 128GB Memory Card, Face ID/Fingerprint Lock/GPS (Black)       ",189.99, 6.85 x 3.85 x 1.35 inches , 13.6 ounces , B0CMV6KLCM ,, 1 Lithium Ion batteries required. (included) ," 

 
   2.6  2.6 out of 5 stars    
    4 ratings   


 2.6 out of 5 stars "," September 5, 2023 ", Huness , 256 GB , 6.8 Inches ,,,, Android 13.0 , 6 GB ,, Wi-Fi ,,, Wireless ,,,,, Slider , Black , 6800 Milliamp Hours ," Earphone, cell phone, Screen Protector, Phone Case, Power Adapter,Pen, Clip pin, IMEI ",,, China ,,,,,,
"        UMIDIGI A15 Cell Phones (16G+256G), Android 13 Mobile Phone, 64MP Main Camera Octa Core Smartphone Unlocked 6.7” HD+ Full-View Waterdrop Screen, 5000mAh Battery 20W Fast Charging, 4G Dual SIM, GPS/NFC       ",169.99,, 6.9 ounces , B0CBV11LHX , A15 , 1 Lithium Ion batteries required. (included) ," 

 
   4.0  4.0 out of 5 stars    
    216 ratings   


 4.0 out of 5 stars "," September 3, 2023 ", UMIDIGI , 256 GB , 6.7 Inches , 16 GB , 5000 Milliamp Hours , 6.57 x 2.95 x 0.31 inches , Android 13 , 8 GB ," Cellular, NFC ", NFC , True ,, Wireless , Touchscreen ,," Rear, Front ", 3.5 mm , Smartphone , Black ,," charger, battery ", 195 Grams ,, China , 6 Hours ,,,,,
