name,price, Wireless Carrier ,  OS  , Cellular Technology ,  Connectivity technologies  , Wireless network technology , Connector Type ,  Form Factor  , Biometric Security Feature , Human Interface Input , GPS , Water Resistance Level , Special Feature , Battery Capacity , Battery Description , Battery Average Life (Talk Time) , Charging Time , Battery Power , Rear Camera Resolution , Other camera features , Optical Sensor Resolution , Screen Size , Scanner Resolution , Display Type , Memory Storage Capacity , Ram Memory Installed Size , Memory Slots Available , CPU Manufacturer , Brand , Model Name , Year ,  Whats in the box  , Manufacturer , Color ,  Weight  , Shooting Modes ,  Audio Jack  , Front Photo Sensor Resolution , Effective Video Resolution , Video Capture Resolution , Refresh Rate , Display Resolution Maximum , SIM card slot count , SIM card size , Model Number , Item Dimensions LxWxH , Warranty Description , Operating System , Connectivity Technology , Form Factor , Headphones Jack , Battery Life , Aperture Modes , Included Components , Item Weight , CPU Speed , Aspect Ratio , Phone Talk Time , Camera Flash , Lens Type , Compatible Devices , Resolution , Material Feature 
"        TCL 10 Plus Unlocked Smartphone, 6.47” Curved AMOLED FHD+ Display, Verizon Cellphone 6/64GB with 48MP Rear AI Quad-Camera, 4500mAh Fast Charging Battery, OTG Reverse Charging, Starlight Silver       ",, Softbank , Android 10.0 , 4G , Wi-Fi ," GSM, CDMA, LTE ", USB Type C , Smartphone , Fingerprint Recognition , Touchscreen , True , Water Resistant ," QC 3.0 fast charging and OTG reverse charging, Faster Access/ Smarter Customization/ Effortless Unlocking, in-recording snapshots, Light Trace Mode, Macro Mode, Panorama Mode, Portrait Mode, Pro Mode, real-time bokeh, scene detection, Slow-Mo Video Mode, Stop-Motion Video Mode, Super Night Mode, Wide-Angle Mode, Chipset: Qualcomm® SnapdragonTM 665 AI Engine, Infinite Capturing - Full-scene Photos - Imaginative Video - Sophisticated Depth, Face Beautification (photos), Portrait Mode, Revolutionary Visual Technology - Immersive Viewing Experience - Bolder Video - True-to-life Color - Comfortable Viewing, Smarter Performance - Greater Processing Power - Optimized Power, Supports Micro SD card, up to 6+128GB big memory with UFS2.1, Fingerprint Sensor ", 4500 Milliamp Hours , Lithium-Polymer , 21 Hours , 125 minutes , 3600 , 48 MP , Rear ," 8.0, 2.0, 16.0 MP ", 6.4 Inches , 1920 x 1080 , AMOLED , 64 GB , 6 GB , 1 , Qualcomm , TCL , TCL 10 Plus Smartphone , 2021 ," User Manual, SIM Tray, Type C Cable ", TCL , Starlight Silver , 0.14 Ounces ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        SAMSUNG Galaxy A34 5G + 4G LTE Latin American Version (256GB + 8GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6"" 120Hz 48MP Triple Camera - (Silver)       ",, Unlocked ," Android 13, One UI 5.1 "," 2G, 3G, 4G, 5G "," Bluetooth, Wi-Fi, USB ", GSM , USB Type C , Smartphone , Fingerprint Recognition , Touchscreen , True , Water Resistant , Dual SIM , 5000 Milliamp Hours , Lithium-Polymer ,,, 5000 Milliampere Hour (mAh) , 48 MP , Rear , 48 MP , 6.6 Inches ,, LCD , 256 GB ,,,, SAMSUNG , Samsung SM-A346M/DSN 5G , 2023 ," Bundle 15W Samsung Wall charger, SIM Tray Ejector, USB Cable ", Samsung , Awesome Silver Global Latin ,, Automatic , 3.5 mm , 48 MP , 8 Pixels , 4k , 120 Hz , 1080 x 2340 Pixels , Dual SIM , Nano , SAMSUNG A34 , 6 x 4 x 2 inches , 30 days ,,,,,,,,,,,,,,,,
        Moto G 5G | 2022 | 2-Day Battery | Unlocked | Made for US by Motorola | 6/256GB | 50 MP Camera | Moonlight Gray       ,279.88, Unlocked for All Carriers ,," 2G,3G,4G,5G ",, LTE ," USB Type C, 3.5mm Jack ",, Fingerprint Recognition ," Touchscreen, Microphone ", True , Water Repellent ," 2.2 GHz Processor, Touchscreen, Bluetooth Enabled, Fast Charging Support, Expandable Memory, Octa Core Processor, Water Resistant, Video Calling, 5G, Text/Messaging, Camera, Fingerprint Sensor, Smartphone, Built-In GPS, Mobile Hotspot Capability ", 5000 Milliamp Hours , Lithium-Ion ,, 90 Hours , 5000 , 50 MP , Front , 50 MP , 6.5 Inches ,, LCD ,,,,, Motorola , Moto G 5G (2022) , 2022 ,, Motorola , Moonlight Gray ,, Automatic ,, 13 MP , 8 Pixels ,, 90 Hz , 1600x720 Pixels , Single SIM ,, PATE0004US , 6.5 x 2.95 x 0.35 inches , 1 year manufacturer , Android 12.0 ," Bluetooth, 3.5 Jack, Wi-Fi, USB ", Smartphone , 3.5 mm , 48 Hours , F1.8 ," User Guide, Moto G 5G (Smartphone), Charger, Sim Tray Tool, USB Type-C Cable ", 204 Grams ,,,,,,,,
"        Xiaomi Redmi A1 Unlocked 4G Volte Cellphone,2GB RAM + 32GB ROM,6.52"" Display, 8MP Camera,5000mAh Battery with 10W Fast Charging Smartphone (Blue)       ",, Unlocked for All Carriers , Android 12.0 , 4G ," Bluetooth, Wi-Fi, USB ", GSM ," Micro USB, 3.5mm Jack ", Bar , Face Recognition , Touchscreen ,, Not Water Resistant ,, 5000 Milliamp Hours , Lithium-Polymer ,,, 5000 Milliampere Hour (mAh) , 8 MP ," Rear, Front ",, 6.52 Inches ,, LCD , 32 GB , 2 GB ,,, Xiaomi , Redmi A1 , 2018 ," Power Adapter, SIM Tray Ejector, USB Cable ", Xiaomi , Blue ,,,, 5 MP ,,,,, Dual SIM , Nano ,, 6.49 x 3.02 x 0.36 inches , 1 year ,,,,,,,,,,,,,,,,
        HeyxFome X1 2023 New 4G LTE GSM Unlocked Cell Phone 6.5” HD+ Screen Mobile Phones 4000mAh Android 10 Smart phone 16MP Smartphone Dual SIM (For T-mobile Metro Mint Tello USA Market) Face Unlock (Black)       ,, T-Mobile , Android , 4G , Wireless ,,, Smartphone , Face Recognition ,,, Water Resistant ,, 4000 Milliamp Hours , Lithium-Ion ,,, 4000 ,, Rear ,, 6.5 Inches , 1600 x 720 , LCD , 16 GB ,,,, HeyxFome , HeyxFome X1 , 2019 ," Power Adapter, SIM Tray Ejector, Phone Case, Screen Protector ", HeyxFome , Black ,, Night Mode ,,,,,,, Dual SIM ,,, 6.54 x 3.03 x 0.31 inches ,,,,,,,,,,,,,,,,,
"        Alcatel 1 (16GB) 5.0"" Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US & Global 4G LTE International Version 5033E (Bluish Black)       ",54.98, Unlocked , Android 8.1 , LTE , Wi-Fi , Wi-Fi , 3.5mm Jack , Slate , Fingerprint Recognition , Touchscreen ,, Not Water Resistant ,, 2000 , Lithium-Ion ,,, 2000 ,," Rear, Front ", 5 MP , 5 Inches , 960 x 480 , LCD , 16 GB , 1 GB ,,, Alcatel , 1 , 2018 , Power Adapter , Alcatel , Bluish Black , 0.1 Ounces ,,,, 8 Pixels ,,,, Dual SIM ,, 5033E , 5.42 x 0.39 x 2.59 inches ,,,,,, 14 Hours ,,,, 1.28 GHz ,,,,,,,
"        SAMSUNG Galaxy A13 LTE Cell Phone, Factory Unlocked Android Smartphone, 32GB, Multi Lens Camera, Infinity-V HD+ Display Screen, Long Battery Life, Expandable Storage, US Version, Black       ",, Unlocked for All Carriers ,, LTE ,, LTE , USB Type C ,, Fingerprint Recognition , Touchscreen ,, Water Resistant ,, 5000 Milliamp Hours , Lithium-Ion ,, 2.3 Hours , 5000 , 50 MP ," Rear, Front ",, 6.6 Inches ,, LCD , 32 GB , 3 GB , 1 ,, SAMSUNG , Galaxy A13 , 2022 ,, Samsung , Black ,,,, 8 MP , 720 Pixels ,, 60 Hz , 1080 x 2400 Pixels , Single SIM , Standard , SM-A135UZKDXAA , 0.35 x 3.01 x 6.5 inches , 1 Year Manufacturer , Android 12.0 ," Bluetooth, Wi-Fi ", smartphone ,, 10 Hours ,, USB Cable , 195 Grams ,, 16:9 ,,,,,,
        BLU G33 | 2023 | All-Day Battery | Unlocked | 6.26” Display | 16/2GB |US Version | US Warranty | Black       ,46.99, T-Mobile , android 13 , 4G , Wireless , GSM , USB Type C , Bar , Fingerprint Recognition ,,, Water Resistant ,, 3000 Milliamp Hours , Lithium-Ion ,,, 3000 ,, Front ,, 6.2 Inches ,, LCD , 16 GB , 2 GB ,,, BLU , G33 , 2023 , Phone Case , BLU , BLACK , 0.39 Pounds ,,,,,,,,,, G0890UU , 9.25 x 6.75 x 3.25 inches , One Year Manufacturer Warranty ,,,,,,,,,,,,,,,,
"        Google Pixel 7 Pro - 5G Android Phone - Unlocked Smartphone with Telephoto/Wide Angle Lens, and 24-Hour Battery - 128GB - Hazel       ",526.83, Unlocked for All Carriers , Android 13.0 , 5G ," Bluetooth, Wi-Fi, NFC "," GSM, CDMA ", USB Type C , Bar , Fingerprint Recognition , Touchscreen ,, Water Resistant , Water resistant , 5000 Milliamp Hours , Lithium-Ion ,, 109 minutes , 4926 , 50 MP ," Rear, Front ",, 6.7 Inches ,, OLED , 128 GB , 12 GB ,,, Google , Pixel 7 Pro , 2022 ," SIM Tool, Quick Switch Adapter, Cell Phone, USB-C to USB-C Cable, Quick Start Guide ", Google , Hazel , 0.46 Pounds , Macro ,,,,, 120 Hz ,, Dual SIM ,, GE2AE , 6.42 x 3.02 x 0.34 inches , 1 year manufacturer ,,,,,,,,,,,,,,,,
        Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black       ,259.99, Unlocked , Android 11.0 , 5G ," Bluetooth, Wi-Fi, USB, NFC ", LTE , 3.5mm Jack , Smartphone , Fingerprint Recognition , Touchscreen ,, Water Resistant ,, 3885 Milliamp Hours , Lithium-Ion ,, 100 minutes , 3600 ,, Rear ,, 6.2 Inches ,, AMOLED , 128 GB , 6 GB ,, Qualcomm , Google , Pixel 4a 5G , 2020 ," Google Pixel USB-C™ earbuds [Limited Geographies], No Headset Except FR, AU Corton Headset, 18w Tetra, 1M USB-C to USB-C Cable (USB2.0 Cable), USB-C to USB-A Quick switch adapter (USB2.0 Adapter) ", Google , Just Black , 0.2 Ounces , Night Mode , 3.5 mm ,,,,,, Dual SIM ,, GA02293-US , 6.1 x 2.9 x 0.3 inches , 1 Year Manufacturer ,,,,, 3885 days ,,,,,,,,,,,
