,name,old_product_price,new_product_price_after,new_product_price_before,Kích thước màn hình,Công nghệ màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Quay video trước,Chipset,Loại CPU,GPU,Dung lượng RAM,Bộ nhớ trong,Khe cắm thẻ nhớ,Pin,Công nghệ sạc,Cổng sạc,Thẻ SIM,Hệ điều hành,Hồng ngoại,Jack tai nghe 3.5,Công nghệ NFC,Hỗ trợ mạng,Wi-Fi,Bluetooth,GPS,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,"Chỉ số kháng nước, bụi",Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Thời điểm ra mắt,Độ phân giải màn hình,Công nghệ - Tiện ích,Loại màn hình,Hệ thống làm mát,Cảm biến,Tương thích
0,Samsung Galaxy Z Flip4 256GB,"10.990.000đ
Khi thu cũ lên đời",11.490.000đ,25.990.000đ,6.7 inches,Dynamic AMOLED 2X,"Màn hình chính: 6.7 inches, Dynamic AMOLED 2X
Màn hình ngoài: 1.9 inches, Super AMOLED
120Hz, HDR10+, 1200 nits (peak)",120Hz,Màn hình gập,"Camera góc rộng: 12 MP, f/1.8, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/1.12, 123˚","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+","Đèn Flash, Quay Siêu chậm (Super Slow Motion), AI Camera, Zoom quang học","10 MP, f/2.4",4K@30fps,Snapdragon 8+ Gen 1 (4 nm),"1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz",Adreno 670,8 GB,256 GB,Không,3700 mAh,"Sạc nhanh 25W
Sạc nhanh không dây 10W
Sạc không dây ngược 4,5W",USB Type-C,2 SIM (nano‑SIM và eSIM),Android 12,Không,Không,Có,5G,"802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","v5.2, A2DP, LE","GLONASS, GPS, GALILEO, QZSS, BEIDOU","Khi mở: 165.2 x 71.9 x 6.9mm
Khi gâp: 84.9 x 71.9 x 15.9-17.1 mm",187 g,Kính,Nhôm,IPX8,"Samsung Pay
Chế độ đơn giản (Giao diện đơn giản)
Thu nhỏ màn hình sử dụng một tay
Trợ lý ảo Samsung Bixby
Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)
Đa cửa sổ (chia đôi màn hình)
Tối ưu game (Game Booster)",Âm thanh Dolby Atmos,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",08/2022,,,,,,
1,Samsung Galaxy Z Flip4 128GB,"10.690.000đ
Khi thu cũ lên đời",11.190.000đ,23.990.000đ,6.7 inches,Dynamic AMOLED 2X,"Màn hình chính: 6.7 inches, Dynamic AMOLED 2X
Màn hình ngoài: 1.9 inches, Super AMOLED
120Hz, HDR10+, 1200 nits (peak)",120Hz,Màn hình gập,"Camera góc rộng: 12 MP, f/1.8, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 123˚","4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+","Đèn Flash, Quay Siêu chậm (Super Slow Motion), AI Camera, Zoom quang học","10 MP, f/2.4",4K@30fps,Snapdragon 8+ Gen 1 8 nhân,"1 nhân 3.18 GHz, 3 nhân 2.7 GHz & 4 nhân 2 GHz",Adreno 670,8 GB,128 GB,Không,3700 mAh,"Sạc nhanh 25W
Sạc nhanh không dây 10W
Sạc không dây ngược 4,5W",USB Type-C,2 SIM (nano‑SIM và eSIM),Android 12,Không,Không,Có,5G,"802.11 a/b/g/n/ac/ax, dual-band, Wi-Fi Direct, hotspot","v5.2, A2DP, LE","GLONASS, GPS, GALILEO, QZSS, BEIDOU","Khi mở: 165.2 x 71.9 x 6.9mm
Khi gâp: 84.9 x 71.9 x 15.9-17.1 mm",187 g,Kính,Nhôm,IPX8,"Samsung Pay
Chế độ đơn giản (Giao diện đơn giản)
Thu nhỏ màn hình sử dụng một tay
Trợ lý ảo Samsung Bixby
Samsung DeX (Kết nối màn hình sử dụng giao diện tương tự PC)
Đa cửa sổ (chia đôi màn hình)
Tối ưu game (Game Booster)",Âm thanh Dolby Atmos,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",08/2022,,,,,,
2,Nokia C21 Plus 2GB 32GB,"1.040.000đ
Khi thu cũ lên đời",1.540.000đ,2.390.000đ,6.52 inches,IPS LCD,,,,13 MP + 2 MP,1080p@30fps,,5 MP,720p,Unisoc SC9863A,4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55,IMG8322,2 GB,32 GB,"MicroSD, hỗ trợ tối đa 256 GB",4000 mAh,,Micro-USB,2 SIM (Nano-SIM),Android 11 (Go edition),,Có,,4G,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP",A-GPS,164.8 x 75.9 x 8.6 mm,178 g,Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận",,,720 x 1600 pixel,,,,,
3,realme 11 Pro (8GB - 256GB),"8.690.000đ
Khi thu cũ lên đời",10.690.000đ,11.990.000đ,6.7 inches,AMOLED,"1.07 tỷ màu, HDR10+, tần số quét 120Hz, 100% DCI-P3",120Hz,Đục lỗ (Nốt ruồi),"Camera góc rộng: 100 MP, f/1.75, 26mm, PDAF, OIS
Camera chiều sâu: 2 MP, f/2.4, 22mm","4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","LED flash, HDR, panorama","Camera góc rộng: 16 MP, f/2.5, 25mm","1080p@30fps, 720p@30fps",Mediatek Dimensity 7050 5G,"TSMC 6nm Process, Octa-core, Up to 2.6Ghz",Mali-G68,8 GB,256 GB,Không,5.000 mAh,Sạc nhanh 67W,USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Không,Có,5G,802.11 a/b/g/n/ac/6,"v5.2, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS","Màu kem/xanh: 161.7 x 73.9 x 8.7 mm
Màu đen: 161.7 x 73.9 x 8.2mm","Màu kem/xanh: 191g
Màu đen: 185g",,Nhựa,,,"Loa kép
Loa âm thanh nổi
Dolby Atmos
Chứng nhận âm thanh Hi-Res",Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt",05/2023,1080 x 2412 pixels,,,,,
4,realme 11 8GB 128GB,"4.990.000đ
Khi thu cũ lên đời",6.990.000đ,7.390.000đ,6.4 inches,Super AMOLED,"90Hz, dộ sáng tối đa 1000nit, mặt kính Corning Gorilla Glass 5,16.7 triệu màu",90Hz,Đục lỗ (Nốt ruồi),Chính Prolight 108MP + Chân dung 2MP,1080p@30fps,"Chế độ 108MP, Chụp đêm, Toàn cảnh, Chuyên gia, HDR, Nhận dạng cảnh AI, Làm đẹp AI, Bộ lọc màu, Tùy chỉnh hiệu ứng Bokeh, Chụp đường phố, Quét lấy dữ liệu, Mô hình, Chế độ ảnh",16MP,1080p@30fps,Chip Helio G99,"Lõi tám nhân, 2*A76 2.2 GHz，6*A55 2.0 GHz",ARM G57 MC2,8GB + Mở rộng 8GB,128 GB,Hỗ trợ tối đa 1 TB,5.000 mAh,Sạc nhanh SuperVOOC 67W,USB Type-C,2 SIM (Nano-SIM),realme UI 4.0 Trên nền tảng Android 13,Không,Có,,4G,,Bluetooth 5.3,"GPS, GALILEO, GLONASS, BDS, QZSS",159.9mm x 73.3mm x 7.95mm,178g,Kính,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế",Bảo mật vân tay,07/2023,1080 x 2400 pixels (FullHD+),,,,,
5,Google Pixel 6,,,,6.4 inches,AMOLED,"Kính cường lực Corning Gorilla Glass Victus
Màn hình luôn bật",,,"Camera góc rộng: 50 MP, f/1.9, 25mm, 1 / 1.31 "", 1.2µm, Dual Pixel PDAF, Laser AF, OIS
Camera siêu rộng: 12 MP, f/2.2, 17mm, 114˚, 1.25µm","4K@30/60fps
1080p@30/60/120/240fps
Con quay hồi chuyển EIS, OIS","Đèn flash LED kép, Pixel Shift, Auto-HDR, ảnh toàn cảnh","Camera rộng: 8 MP, f/2.0, 24mm, 1.12µm",1080p@30fps,Google Tensor (5 nm),"2x2,80 GHz Cortex-X1 & 2x2,25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55",Mali-G78 MP20,8 GB,128 GB,Không,4614 mAh,"Sạc nhanh (dựa trên bộ sạc 30W)
Sạc không dây nhanh 21W
Sạc không dây ngược USB Power Delivery 3.0",USB Type-C,Nano-SIM + eSIM,Android 12,,Không,Có,5G,"802.11 a / b / g / n / ac / 6e, băng tần kép, Wi-Fi Direct, điểm phát sóng","5.2, A2DP, LE, aptX HD","GPS (L1 + L5), GLONASS (G1), BDS (B1I + B1c + B2a), GALILEO (E1 + E5a), QZSS (L1 + L5)","158,6 x 74,8 x 8,9 mm",207 g,Kính,,IP68,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,1080 x 2400 pixels (FullHD+),,,,,
6,Realme 10 Ultra,,,,6.7 inches,OLED,,,,200 megapixel và làm mờ PWM 2160 Hz,,,,,Snapdragon 8 Gen 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Xiaomi POCO C55,,,,6.71 inches,IPS LCD,"Tần số quét 60 Hz
Corning Gorilla Glass 3",,,"Camera chính 50 MP, f/1.8
0.08 MP",1080p@30fps,"Đèn flash LED, HDR, toàn cảnh","5 MP, f/2.0",1080p@30fps,MediaTek Helio G85,Octa-core 2.0 GHz,Mali-G52 MC2,4 GB,64 GB,microSDXC,5000 mAh,Sạc 10W,Micro-USB,2 SIM (Nano-SIM),Android 12,,Có,Không,4G,802.11 a/b/g/n/ac,v5.1,"A-GPS, GLONASS, BDS, GALILEO",168.76 x 76.41 •x 8.7 mm,192 gr,Nhựa,,,,,Cảm biến vân tay mặt lưng,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến áp kế",,,720 x 1650 pixels,,,,,
8,Samsung Galaxy Buddy2,,,,6.6 inches,TFT LCD,,,,50MP,,,8MP,,Snapdragon 750G,,,4 GB,128 GB,,5.000 mAh,Sạc 25 W,,,Android 12,,,,,,,,,,,,,,,,,,,,,,,,
9,OPPO A16K,,,,6.52 inches,IPS LCD,"Tần số quét 60 Hz, 71% NTSC, 480 nits, Corning glass 3 (GG3), 16 triệu màu",60Hz,Giọt nước,Camera chính: 13MP: f/2.2; FOV 80°; ống kính 5P; có hỗ trợ AF,"1080P@30 fps, 720P@30 fps","Tự động lấy nét (AF)
HDR
Toàn cảnh (Panorama)
Ban đêm (Night Mode)
Làm đẹp
Bộ lọc màu
Xóa phông
Zoom kỹ thuật số","5MP : f/2.4, FOV: 76°, ống kính 3P",1080P/720P@30 fps,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG GE8320,3 GB,32 GB,"MicroSD, hỗ trợ tối đa 1 TB",4230 mA,Sạc 10 W,Micro-USB,2 SIM (Nano-SIM),Android 11,Không,Có,Không,4G,"Wi-Fi 2.4 GHz, Wi-Fi 5 GHz, Wi-Fi Display",v5.0,"A-GPS, GLONASS, GALILEO, BDS",164 x 75.4 x 7.9 mm,175g,,Nhựa,,,,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Cảm biến trọng lực",,11/2021,720 x 1600 pixel,,,,,
