Bluetooth,Bộ nhớ trong,Camera sau,Camera trước,Chipset,Chất liệu,Cảm ứng,Dung lượng Pin,GPS,Ghi âm,Hệ điều hành,Hỗ trợ sạc tối đa,Hỗ trợ thẻ nhớ ngoài,Jack 3.5mm,Kích thước màn hình,Kích thước sản phẩm,Link,Loại SIM,Loại màn hình,Model,Màu sắc,Mạng 4G,Mạng 5G,Mở khóa nhanh,NFC,Name,Nhà sản xuất,Năm ra mắt ,Price,RAM,Radio,Thiết kế,Thời gian bảo hành,Tiện ích khác ĐTDĐ,Tần số quét màn hình,USB,WIFI,Xuất xứ,Đèn Flash,Địa điểm bảo hành,Độ phân giải màn hình,CPU,Chống nước,Khối lượng sản phẩm (gram),Loại pin,Phụ kiện trong hộp,Sạc kèm theo máy (W),Số khe SIM,Video,Độ sáng tối đa,Jack tai nghe,Khối lượng sản phẩm (kg),Loa ngoài,Mạng 3G,Màn hình tràn viền
v5.1,128GB,"50MP (Chính), 5MP (Camera góc siêu rộng), 2MP (Macro), 2MP (Depth)",8MP,Snapdragon 695 5G 8 nhân,Khung & Mặt lưng nhựa,Kính cường lực Corning Gorilla Glass 3,5000mAh,"GPS, GALILEO,GLONASS","Ghi âm mặc định, Ghi âm cuộc gọi",Android 12,Sạc nhanh 25W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.6 """,165.4 x 76.9 x 8.4 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a23-5g-4gb-128gb-den.html,2 Nano SIM,Tràn viền vô cực Infinity-V FHD+,A236 (SM-A236E/DS),Đen,Hỗ trợ 5G,Hỗ trợ 5G,"Mở khoá vân tay cạnh viền, Mở khoá khuôn mặt",Có,Điện thoại Samsung Galaxy A23 5G 4GB/128GB Đen,Samsung,11/2022,4.290.000,4GB,Có,Nguyên khối,12 Tháng,Quay chụp Chống rung OIS 2022,120 Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct,Wi-Fi hotspot",Việt Nam,Có,Nguyễn Kim,Full HD+ (1080 x 2408) pixels,,,,,,,,,,,,,,
v5.1,128GB,"50MP (Chính), 5MP (Camera góc siêu rộng), 2MP (Macro), 2MP (Depth)",8MP,Snapdragon 695 5G 8 nhân,Khung & Mặt lưng nhựa,Kính cường lực Corning Gorilla Glass 3,5000mAh,"GPS, GALILEO,GLONASS","Ghi âm mặc định, Ghi âm cuộc gọi",Android 12,Sạc nhanh 25W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.6 """,165.4 x 76.9 x 8.4 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a23-5g-4gb-128gb-xanh.html,2 Nano SIM,Tràn viền vô cực Infinity-V FHD+,A236 (SM-A236E/DS),Xanh,Hỗ trợ 5G,Hỗ trợ 5G,"Mở khoá vân tay cạnh viền, Mở khoá khuôn mặt",Có,Điện thoại Samsung Galaxy A23 5G 4GB/128GB Xanh,Samsung,11/2022,4.290.000,4GB,Có,Nguyên khối,12 Tháng,Quay chụp Chống rung OIS 2022,120 Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct,Wi-Fi hotspot",Việt Nam,Có,Nguyễn Kim,Full HD+ (1080 x 2408) pixels,,,,,,,,,,,,,,
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.7 """,159.9 x 76.7 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-max-256gb-white-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PROMAX256GB,Titan Trắng,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro Max 256GB Titan Trắng,iPhone,2023,33.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2796 x 1290 pixels,Hexa-core (2x + 4x),IP68,221 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
,"32 GB e-MMC 5.1, hỗ trợ thẻ nhớ ngoài 64GB","5MP, f2.2 với đèn Flash","5MP, f2.2 với đèn Flash",SC9863A 8 nhân | 1.6GHz,,,"2950 mAh, pin rời",GPS/AGPS,,Android 11 (phiên bản Go),,,Có,"6.5 """,169.9 x 77.9 X 8.8 mm,https://www.nguyenkim.com/dien-thoai-nokia-c20-2gb-32gb-xanh.html,,"chuẩn HD+ giọt nước, tỉ lệ 20:9",NOKIAC20,Xanh,,,Mở khóa khuôn mặt,,Điện thoại Nokia C20 2GB/32GB Xanh,Nokia,,1.350.000,2 GB DDR3 DRAM,,,12 Tháng,,,Micro USB (USB 2.0),802.11 b/g/n,Trung Quốc,,Nguyễn Kim,,,,,,,,,,,,,,,
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.7 """,159.9 x 76.7 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-max-256gb-natural-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PROMAX256GB,Titan Tự Nhiên,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro Max 256GB Titan Tự Nhiên,iPhone,2023,33.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2796 x 1290 pixels,Hexa-core (2x + 4x),IP68,221 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
Bluetooth 5.2,128 GB,"Chính 64MP, Phụ 2MP",8MP,MediaTek Helio G88,Khung & Mặt lưng nhựa,,5000mAh,GPS / GLONASS / GALILEO / Beidou,Có,"Android 13, Realme UI 4.0",Sạc nhanh SuperVOOC 33W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.72 """,165.6 x 75.9 x 7.89 mm,https://www.nguyenkim.com/dien-thoai-realme-c55-6gb-128gb-den.html,2 Nano SIM,IPS LCD,RMX3710,Đen trời đêm,Có,,Mở khoá vân tay cạnh viền,,Điện thoại Realme C55 6GB/128GB Đen trời đêm,Realme,2023,3.690.000,6 GB,,Nguyên khối,12 Tháng,,90 Hz,Type-C,2.4/5GHz,Trung Quốc,Có,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,"Lõi tám nhân, 12nm, lên đến 2.0GHz",,,,,,,1080P/60fps,,3.5 mm,"0,1895 kg",,,
Bluetooth 5.2,128 GB,"Chính 64MP, Phụ 2MP",8MP,MediaTek Helio G88,Khung & Mặt lưng nhựa,,5000mAh,GPS / GLONASS / GALILEO / Beidou,Có,"Android 13, Realme UI 4.0",Sạc nhanh SuperVOOC 33W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.72 """,165.6 x 75.9 x 7.89 mm,https://www.nguyenkim.com/dien-thoai-realme-c55-6gb-128gb-vang.html,2 Nano SIM,IPS LCD,RMX3710,Vàng nắng mai,Có,,Mở khoá vân tay cạnh viền,,Điện thoại Realme C55 6GB/128GB Vàng nắng mai,Realme,2023,3.690.000,6 GB,,Nguyên khối,12 Tháng,,90 Hz,Type-C,2.4/5GHz,Trung Quốc,Có,Nguyễn Kim,Full HD+ (1080 x 2400) pixels,"Lõi tám nhân, 12nm, lên đến 2.0GHz",,,,,,,1080P/60fps,,3.5 mm,"0,1895 kg",,,
Bluetooth 5.3,128GB,"50MP, 2MP",,Helio G85 (12nm),,,5000mAh,"GPS, GLONASS, GALILEO, BDS",,Android 13,Tối đa 25W,Tối đa 1TB,Hỗ trợ,"6.7 """,168.8 x 78.2 x 8.8 mm,https://www.nguyenkim.com/dien-thoai-samsung-galaxy-a05-4gb-128gb-den.html,2 Nano SIM,PLS LCD,SAMSUNGA05 (SM-A055F/DS),Đen,Hỗ trợ,Không hỗ trợ,,Không hỗ trợ,Điện thoại Samsung Galaxy A05 4GB/128GB Đen,Samsung,2023,2.690.000,4GB,Không hỗ trợ,Nguyên khối,12 Tháng,,60Hz,Type-C,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Trung Quốc,LED Flash,Nguyễn Kim,HD+ (1600 x 720) pixels,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,195 gram,,,Không,,1080p@30/60fps,,Hỗ trợ,,Hỗ trợ,,
v5.3,128GB,13MP (Chính) +2MP (Xóa phông),8MP,MediaTek Helio G35,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,,5000 mAh,"GPS, BDS, GLONASS, Galileo, và QZSS","Ghi âm mặc định, Ghi âm cuộc gọi",Android 12 (ColorOS 12.1),Sạc nhanh SuperVOOC 33W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.56 """,164.4 x 75.7 x 8.4 mm,https://www.nguyenkim.com/dien-thoai-oppo-a57-4gb-128gb-xanh.html,2 Nano SIM,IPS LCD,CPH2407- A57128GB,Xanh,Có,,"Mở khóa vân tay, Nhận diện khuôn mặt",,Điện thoại OPPO A57 4GB/128GB Xanh,OPPO,2022,3.490.000,4GB,,Nguyên khối,12 Tháng,,60 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac,Trung Quốc,,Nguyễn Kim,HD+ ( 1612 x 720) pixels,,IPX4,,,,,,,,,0.187 kg,,,
v5.3,128GB,13MP (Chính) +2MP (Xóa phông),8MP,MediaTek Helio G35,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,,5000 mAh,"GPS, BDS, GLONASS, Galileo, và QZSS","Ghi âm mặc định, Ghi âm cuộc gọi",Android 12 (ColorOS 12.1),Sạc nhanh SuperVOOC 33W,"MicroSD, hỗ trợ tối đa 1 TB",Có,"6.56 """,164.4 x 75.7 x 8.4 mm,https://www.nguyenkim.com/dien-thoai-oppo-a57-4gb-128gb-den.html,2 Nano SIM,IPS LCD,CPH2407- A57128GB,Đen,Có,,"Mở khóa vân tay, Nhận diện khuôn mặt",,Điện thoại OPPO A57 4GB/128GB Đen,OPPO,2022,3.490.000,4GB,,Nguyên khối,12 Tháng,,60 Hz,Type-C,Wi-Fi 802.11 a/b/g/n/ac,Trung Quốc,,Nguyễn Kim,HD+ ( 1612 x 720) pixels,,IPX4,,,,,,,,,0.187 kg,,,
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.7 """,159.9 x 76.7 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-max-256gb-blue-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PROMAX256GB,Titan Xanh,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro Max 256GB Titan Xanh,iPhone,2023,33.090.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2796 x 1290 pixels,Hexa-core (2x + 4x),IP68,221 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
Bluetooth 5.3,256GB,"Chính 48MP, Phụ 12MP & 12MP",12MP,Apple A17 Pro,"Khung Titan, mặt trước Ceramic Shield, mặt sau Kính nhám",Màn hình luôn bật,Đang cập nhật,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",,iOS 17,Sạc lên đến 50% trong vòng 30 phút với bộ tiếp hợp nguồn 20W trở lên,,,"6.7 """,159.9 x 76.7 x 8.25 mm,https://www.nguyenkim.com/dien-thoai-iphone-15-pro-max-256gb-black-titanium.html,nano-SIM và eSIM,"OLED, Super Retina XDR",IPHONE15PROMAX256GB,Titan Đen,,Hỗ trợ,Camera TrueDepth hỗ trợ nhận diện khuôn mặt Face ID,Hỗ trợ,Điện thoại iPhone 15 Pro Max 256GB Titan Đen,iPhone,2023,33.490.000,,,Nguyên khối,12 Tháng,"Dynamic Island, lớp phủ kháng dầu chống in dấu vân tay, hỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự",,USB-C,Wi‑Fi 6E (802.11ax) với 2x2 MIMO,Trung Quốc,Có,Nguyễn Kim,2796 x 1290 pixels,Hexa-core (2x + 4x),IP68,221 gram,Tích hợp pin sạc lithium-ion,"Cáp Sạc USB-C (1m), tài liệu",Không,1,Quay video 4K,Tối đa 2000 nit,,,,,
